epoch 1.5 | loss 0.5321 | lr 0.0005 | valid primary 0.603221
epoch 2.0 | loss 0.5327 | lr 0.0005 | valid primary 0.603766
epoch 2.5 | loss 0.5262 | lr 0.00025 | valid primary 0.604324
epoch 3.0 | loss 0.5271 | lr 0.00025 | valid primary 0.604867
epoch 3.5 | loss 0.5247 | lr 0.000125 | valid primary 0.604470
epoch 4.0 | loss 0.5250 | lr 0.000125 | valid primary 0.604658
epoch 4.5 | loss 0.5240 | lr 6.25e-05 | valid primary 0.604815
epoch 5.0 | loss 0.5247 | lr 6.25e-05 | valid primary 0.604828
epoch 5.5 | loss 0.5234 | lr 3.125e-05 | valid primary 0.604839
epoch 6.0 | loss 0.5241 | lr 3.125e-05 | valid primary 0.604707
final: {"best_epoch": 3.0, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 108, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": 0.00016740175292528914, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6720499732766682, "ndcg5": 0.5376848302291825, "primary": 0.6048674017529253, "runtime_s": 25.7, "timed_out": false}
epoch 0.5 | loss 0.6407 | lr 0.001 | valid primary 0.597758
epoch 1.0 | loss 0.5487 | lr 0.001 | valid primary 0.601390
epoch 1.5 | loss 0.5316 | lr 0.0005 | valid primary 0.602911
epoch 2.0 | loss 0.5310 | lr 0.0005 | valid primary 0.603867
epoch 2.5 | loss 0.5245 | lr 0.00025 | valid primary 0.604422
epoch 3.0 | loss 0.5256 | lr 0.00025 | valid primary 0.605024
epoch 3.5 | loss 0.5221 | lr 0.000125 | valid primary 0.604836
epoch 4.0 | loss 0.5225 | lr 0.000125 | valid primary 0.604829
epoch 4.5 | loss 0.5206 | lr 6.25e-05 | valid primary 0.604663
epoch 5.0 | loss 0.5207 | lr 6.25e-05 | valid primary 0.604984
epoch 5.5 | loss 0.5200 | lr 3.125e-05 | valid primary 0.604738
epoch 6.0 | loss 0.5195 | lr 3.125e-05 | valid primary 0.604678
final: {"best_epoch": 3.0, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 109, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": 0.0003235800004242062, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6721122429147748, "ndcg5": 0.5379349170860735, "primary": 0.6050235800004242, "runtime_s": 25.7, "timed_out": false}
epoch 0.5 | loss 0.6428 | lr 0.001 | valid primary 0.597384
epoch 1.0 | loss 0.5487 | lr 0.001 | valid primary 0.602440
epoch 1.5 | loss 0.5323 | lr 0.0005 | valid primary 0.603201
epoch 2.0 | loss 0.5326 | lr 0.0005 | valid primary 0.604905
epoch 2.5 | loss 0.5270 | lr 0.00025 | valid primary 0.604070
epoch 3.0 | loss 0.5267 | lr 0.00025 | valid primary 0.604565
epoch 3.5 | loss 0.5251 | lr 0.000125 | valid primary 0.604789
epoch 4.0 | loss 0.5254 | lr 0.000125 | valid primary 0.604579
epoch 4.5 | loss 0.5244 | lr 6.25e-05 | valid primary 0.604848
epoch 5.0 | loss 0.5242 | lr 6.25e-05 | valid primary 0.605044
epoch 5.5 | loss 0.5241 | lr 3.125e-05 | valid primary 0.604815
epoch 6.0 | loss 0.5237 | lr 3.125e-05 | valid primary 0.604747
epoch 6.5 | loss 0.5232 | lr 1.5625e-05 | valid primary 0.604824
epoch 7.0 | loss 0.5241 | lr 1.5625e-05 | valid primary 0.604808
epoch 7.5 | loss 0.5230 | lr 7.8125e-06 | valid primary 0.604847
epoch 8.0 | loss 0.5231 | lr 7.8125e-06 | valid primary 0.604864
final: {"best_epoch": 5.0, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 110, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": 0.0003443176977590001, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6721950900349467, "ndcg5": 0.5378935453605713, "primary": 0.605044317697759, "runtime_s": 35.2, "timed_out": false}
epoch 0.5 | loss 0.6305 | lr 0.001 | valid primary 0.598022
epoch 1.0 | loss 0.5481 | lr 0.001 | valid primary 0.602038
epoch 1.5 | loss 0.5324 | lr 0.0005 | valid primary 0.603127
epoch 2.0 | loss 0.5321 | lr 0.0005 | valid primary 0.603582
epoch 2.5 | loss 0.5270 | lr 0.00025 | valid primary 0.603437
epoch 3.0 | loss 0.5275 | lr 0.00025 | valid primary 0.603802
epoch 3.5 | loss 0.5245 | lr 0.000125 | valid primary 0.603917
